Title,Year,Rating
Down by Law,1986,7.7
Vivre sa vie: Film en douze tableaux,1962,7.8
Soorarai Pottru,2020,8.7
Das Experiment,2001,7.7
Le charme discret de la bourgeoisie,1972,7.8
Kis Uykusu,2014,8.1
The Innocents,1961,7.8
The Breadwinner,2017,7.7
Soshite chichi ni naru,2013,7.8
Jungfrukällan,1960,8.1
Dil Chahta Hai,2001,8.1
Celda 211,2009,7.6
"4 luni, 3 saptamâni si 2 zile",2007,7.9
Ascenseur pour l'échafaud,1958,7.9
Höstsonaten,1978,8.1
Ta'm e guilass,1997,7.7
L'avventura,1960,7.8
Ace in the Hole,1951,8.1
Efter brylluppet,2006,7.7
Il postino,1994,7.8
The Gold Rush,1925,8.1
Sennen joyû,2001,7.8
Toki o kakeru shôjo,2006,7.7
Hoje Eu Quero Voltar Sozinho,2014,7.9
Okuribito,2008,8.0
Jules et Jim,1962,7.7
Hiroshima mon amour,1959,7.9
Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0
White Heat,1949,8.1
Tôkyô goddofâzâzu,2003,7.8
Rocketry: The Nambi Effect,2022,8.8
"Crna macka, beli macor",1998,8.0
Le notti di Cabiria,1957,8.1
Le cercle rouge,1970,7.9
Super 30,2019,7.9
Miracle on 34th Street,1947,7.9
Barfi!,2012,8.1
Da hong denglong gaogao gua,1991,8.1
Babam ve Oglum,2005,8.2
Darbareye Elly,2009,7.9
La règle du jeu,1939,7.9
Adams æbler,2005,7.7
Nueve reinas,2000,7.9
Kind Hearts and Coronets,1949,8.0
Crimes and Misdemeanors,1989,7.8
The Shop Around the Corner,1940,8.0
El ángel exterminador,1962,8.0
Talvar,2015,8.1
Central do Brasil,1998,8.0
Rang De Basanti,2006,8.1
Sherlock Jr.,1924,8.2
Queen,2013,8.1
Gongdong gyeongbi guyeok JSA,2000,7.7
Joyeux Noël,2005,7.7
Masaan,2015,8.1
Du rififi chez les hommes,1955,8.1
Article 15,2019,8.1
Ma vie de Courgette,2016,7.7
Uri: The Surgical Strike,2019,8.2
The Purple Rose of Cairo,1985,7.7
Haider,2014,8.0
Bin-jip,2004,7.9
Veer-Zaara,2004,7.8
Hana-bi,1997,7.7
Black,2005,8.1
G.O.R.A.,2004,8.0
Chak De! India,2007,8.1
La Grande Illusion,1937,8.1
La belle et la bête,1946,7.9
Dom za vesanje,1988,8.1
Le passé,2013,7.7
Chhichhore,2019,8.3
No Man's Land,I) (2001,7.9
Love and Death,1975,7.7
C.R.A.Z.Y.,2005,7.9
Bir Zamanlar Anadolu'da,2011,7.8
Pink,III) (2016,8.1
Såsom i en spegel,1961,8.0
Gully Boy,2019,7.9
Knockin' on Heaven's Door,1997,7.8
Sanjuro,1962,8.0
Ratsasan,2018,8.3
Taegukgi hwinalrimyeo,2004,8.0
The Muppet Christmas Carol,1992,7.7
Sullivan's Travels,1941,7.9
Vozvrashchenie,2003,7.9
Roma città aperta,1945,8.0
Hindi Medium,2017,7.8
Mandariinid,2013,8.1
Dev.D,2009,7.9
Asuran,2019,8.4
Zelig,1983,7.7
Jean de Florette,1986,8.1
A Night at the Opera,1935,7.8
Hera Pheri,2000,8.1
Umberto D.,1952,8.2
Munna Bhai M.B.B.S.,2003,8.1
Drishyam,2013,8.3
96,II) (2018,8.5
M.S. Dhoni: The Untold Story,2016,7.9
Paan Singh Tomar,2012,8.2
A Wednesday,2008,8.1
Auf der anderen Seite,2007,7.7
Nattvardsgästerna,1963,8.0
Lage Raho Munna Bhai,2006,8.0
OMG: Oh My God!,2012,8.1
Vicky Donor,2012,7.8
Eskiya,1996,8.1
Drishyam 2,2021,8.4
Kahaani,2012,8.1
Padman,2018,7.9
Udaan,2010,8.1
Baby,I) (2015,7.9
English Vinglish,2012,7.8
Bhaag Milkha Bhaag,2013,8.2
Vizontele,2001,8.0
Badhaai ho,2018,7.9
Andaz Apna Apna,1994,8.0
Nefes: Vatan Sagolsun,2009,8.0
Sarfarosh,1999,8.1
Anand,1971,8.1
Special Chabbis,2013,8.0
Airlift,2016,7.9
Her Sey Çok Güzel Olacak,1998,8.1
